date,media_source,campaign_id,campaign_name,country,impressions,clicks,installs,cost,ad_revenue,iap_revenue,total_revenue,net_profit,roas_percent,cpi,arpu,ctr_percent
2026-07-26,googleadwords_int,739276167,mock_campaign_1fbdf2e3,US,7774,186,82,59.07,48.75,59.85,108.6,49.53,183.85,0.72,1.32,2.39
2026-07-26,googleadwords_int,140410898,mock_campaign_a2e93e84,US,7678,185,69,36.59,21.53,0.0,21.53,-15.05,58.86,0.53,0.31,2.41
2026-07-26,googleadwords_int,232552584,mock_campaign_a5da28b5,AU,2450,73,30,23.8,14.3,0.0,14.3,-9.5,60.08,0.79,0.48,2.98
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,CO,11602,480,318,11.95,7.14,0.0,7.14,-4.81,59.76,0.04,0.02,4.14
2026-07-26,googleadwords_int,243641668,mock_campaign_1e8723bd,BR,28204,821,315,11.3,8.16,0.0,8.16,-3.13,72.26,0.04,0.03,2.91
2026-07-26,googleadwords_int,742036733,mock_campaign_e0586969,CA,2482,72,32,9.39,23.54,0.0,23.54,14.15,250.73,0.29,0.74,2.9
2026-07-26,googleadwords_int,464541057,mock_campaign_d8ff83e7,DE,3568,89,29,6.57,6.84,0.0,6.84,0.27,104.09,0.23,0.24,2.49
2026-07-26,googleadwords_int,900383572,mock_campaign_45368c6d,MX,15857,466,246,6.5,6.2,0.0,6.2,-0.3,95.4,0.03,0.03,2.94
2026-07-26,googleadwords_int,432166127,mock_campaign_f8b84857,FR,4989,129,47,5.7,4.06,0.0,4.06,-1.63,71.33,0.12,0.09,2.59
2026-07-26,googleadwords_int,529859974,mock_campaign_d2ea5396,TR,14224,430,183,5.05,3.99,0.0,3.99,-1.06,79.0,0.03,0.02,3.02
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,O1,5442,194,0,4.55,0.0,0.0,0.0,-4.55,0.0,,,3.56
2026-07-26,googleadwords_int,525989111,mock_campaign_c82cc8f4,ZW,2366,179,121,3.17,1.25,0.0,1.25,-1.92,39.3,0.03,0.01,7.57
2026-07-26,googleadwords_int,998337322,mock_campaign_fe944d1c,IT,4571,179,68,3.09,5.27,0.0,5.27,2.18,170.49,0.05,0.08,3.92
